id,class,literaryGenre,genre,label,subject,author,publisher
32,848a36a2-c141-41a0-adca-8dccf3e220ab,,,The Dream (novel),1924 novels World War I novels,H. G. Wells,Jonathan Cape
33,a6a55374-d3cd-4505-bbeb-74b2bfe29bd6,Racconto Romanzo poliziesco,Racconto Romanzo poliziesco,Poirot indaga,1924 short story collections The Bodley Head books,,The Bodley Head
34,668878f4-702b-4ea6-98ec-0c1d231f3851,Letteratura gialla,Mystery fiction,La ragazza che giocava con il fuoco,2006 novels Crime novels Mystery novels Novels published posthumously Novels set in Sweden Swedish novels Works about human trafficking,Stieg Larsson,Norstedts FÍ_rlag
35,a6c17072-f47d-4484-b996-1e7dcfbb2559,Science fantasy,Science fantasy,The Wizard of Venus,American fantasy novels American science fiction novels Fantasy short story collections Science fiction short story collections,,
36,494e7616-fb8a-47f6-8b3f-cd3f94b85b5a,Mystery fiction,,The Nine Tailors,British novels Masterpiece Theatre Novels by Dorothy L. Sayers,,Victor Gollancz Ltd
37,4453152d-920d-493d-9364-c890227e0cf5,,,Sandkings (novelette),1979 short stories Hugo Award for Best Novelette winning works Nebula Award for Best Novelette winning works,George R. R. Martin,Omni
38,371ddcc6-ec9f-480e-a9a7-59f9e56a6a2d,Planetary romance,Planetary romance,Gli dei di Marte,1910s science fiction novels American science fiction novels Martian novels by Edgar Rice Burroughs Novels first published in serial form,Edgar Rice Burroughs,A. C. McClurg
39,77eb6c13-ea40-41b3-a30a-003205c550d5,Fantascienza,Racconto,Beyond Lies the Wub (collection),Short story collections by Philip K. Dick,Philip K. Dick,
40,a7576809-dc62-4dc8-bd14-0553890419e2,,Narrativa di viaggio,English Hours,Books about England Books by Henry James Travel books,Henry James,
41,02e5a9a5-42b0-4a5e-a297-e268a99ee837,Fantascienza,,Convergent Series (short story collection),Short story collections by Larry Niven,Larry Niven,Ballantine Books Del Rey Books
42,d3a10069-c71e-4efa-8efd-d79247f41a1e,Mondo perduto (genere),Mondo perduto (genere),Le miniere di re Salomone (romanzo),1880s fantasy novels 1885 novels English novels Lost mines Novels set in Africa Novels set in Colonial Africa Solomon,Henry Rider Haggard,John Cassell
43,28a37304-0f2a-4014-973d-04a47ccf61c6,Mitologia greca Mitologia romana Young-adult fiction,Fantasy  Greek and Roman mythology  Young adult,The Mark of Athena,2012 novels American fantasy novels Percy Jackson & the Olympians,Rick Riordan,
44,f7f65b83-587b-4215-bfbe-51b5b2e2c919,Romanzo storico,Romanzo storico,Sir Nigel,British historical novels Novels first published in serial form Works originally published in The Strand Magazine,Arthur Conan Doyle,Smith  Elder & Co. The Strand Magazine
45,bd2e0885-30a6-4946-b424-275a7300d49f,Fantascienza,Fantascienza,The Winds of Dune,American fantasy novels Dune novels Novels by Kevin J. Anderson,Kevin J. Anderson,
46,a834072f-299f-4571-bfc2-09b0a8136f05,Scienza,Scienza,Out of the Everywhere,1990 books Essay collections by Isaac Asimov Works originally published in The Magazine of Fantasy & Science Fiction,,Doubleday
47,c80d8940-3282-41b3-b1b1-e94f262319d5,Letteratura gialla Mystery fiction,Letteratura gialla,Colorado Kid,2005 novels 21st-century American novels American mystery novels,,Hard Case Crime
48,a88a3316-1632-4591-bcff-227b5da447dc,Romanzo,Romanzo,A Time for George Stavros,1950s novels Lost books Novels by Philip K. Dick,,
49,a8d1b59f-27d6-4e6f-8b9f-caed04dace01,,Ucronia,Emperor (Stephen Baxter),2006 novels British science fiction novels Novels by Stephen Baxter Novels set in Roman Britain,Stephen Baxter,Asso (carte)
50,a8d9646f-0889-4d55-814a-7cd990241ef7,,Fantascienza,Illusione di potere,1960s science fiction novels 1966 novels American science fiction novels Novels by Philip K. Dick,,Doubleday
51,a8dce860-2159-40f0-b74b-51aa59785209,,Fantascienza,Le sabbie di Marte,1951 novels British science fiction novels Mars in fiction Novels by Arthur C. Clarke,,
52,a9264c3c-37c1-458d-89f3-d2001bfd722f,,,The Passionate Friends,1913 novels British novels Novels by H. G. Wells,,
53,2f812de2-3e53-46bc-b282-5cfa80206180,,,Il ritorno di Tarzan,1915 novels Lost world novels Novels first published in serial form Tarzan novels by Edgar Rice Burroughs Works originally published in American magazines Works originally published in pulp magazines,Edgar Rice Burroughs,
54,a995164d-0f21-4f0b-a206-ad259e5ee101,,Letteratura gialla,Macabro quiz,1959 novels Hercule Poirot novels Works originally published in John Bull (magazine),,Collins Crime Club
55,4a8c88a9-c338-4147-84b4-990017f40e1f,Regency era,Romanzo rosa,A Civil Contract,1814 in fiction 1961 novels Historical novels Novels by Georgette Heyer,Georgette Heyer,
56,9d38a275-6c92-48e5-b252-a87dc434e6cb,Crimine Romanzo,Crimine Mystery fiction Romanzo,Il bacio della violenza,1929 novels 20th-century American novels Alfred A. Knopf books Hardboiled crime novels San Francisco  California in fiction,Dashiell Hammett,
57,a2d44d8f-745a-4490-bedf-ea863a4b99f7,,Romanzo di avventura,Ventimila leghe sotto i mari,1860s in fiction 1870 novels 1870s fantasy novels 1870s science fiction novels Atlantis in fiction French fantasy novels Maritime books Novels set in Greece Novels set in India Novels set in Japan Novels set in New York City Novels set in Norway Science fantasy novels Submarines in fiction,,Pierre-Jules Hetzel
58,2ef8e915-7bf1-421d-8f33-4c825fbad0af,,,C'era una volta (romanzo),1944 novels Novels by Agatha Christie Novels set in Ancient Egypt,Agatha Christie,Dodd  Mead and Company
59,e4037b9d-e3ae-477d-b1ac-9651276a294b,Letteratura dell'orrore,,Blood (romanzo),Alfred A. Knopf books Novels by Anne Rice Novels set in New Orleans  Louisiana,Anne Rice,Alfred A. Knopf
60,d7eb9f45-e9ea-4d3b-8cda-04b3e375cdba,,Romanzo epistolare,The Gum Thief,Bloomsbury Publishing books Epistolary novels Novels by Douglas Coupland Novels set in Vancouver,,Random House
61,4999d371-81b5-4a0c-b799-03eefb1ebc05,Fantapolitica,Fantapolitica,The Survivors of the \,1909 novels Novels by Jules Verne Novels set in Chile Tierra del Fuego,,
62,074bfeb8-037f-44db-851e-c09989ac7592,Regency era Romanzo rosa,Romanzo rosa,Bath Tangle,Historical novels Novels by Georgette Heyer,Georgette Heyer,Heinemann (publisher)
63,3e974b19-84d6-45c5-aa60-665c63f06e25,Fantascienza,,Il terrore dalla sesta luna (romanzo),1950s science fiction novels 1951 novels Novels by Robert A. Heinlein Novels first published in serial form Novels set in Iowa Titan in fiction Trans-Neptunian objects in fiction Works originally published in Galaxy Science Fiction,Robert Anson Heinlein,
64,3ea0cd8a-27b4-406f-bd5a-954552282672,Romanzo poliziesco,Racconto,Quattro casi per Hercule Poirot,1937 short story collections Hercule Poirot short story collections,Agatha Christie,Collins Crime Club
65,b9d71df3-a1a5-4ff6-aa6e-6211fdb49357,,,La Luna ÍÎ una severa maestra,1966 novels American science fiction novels Books written in fictional dialects Fictional artificial intelligences Moon in fiction Novels by Robert A. Heinlein Prometheus Award winning works Works originally published in If (magazine),,Putnam's Sons
66,fb76f804-ed49-4f55-a719-d5caead5b7d8,Comic novel,,The Right to an Answer,1960 novels Novels by Anthony Burgess Novels set in Leicestershire,Anthony Burgess,
67,a4bca3f2-3d21-4399-a85b-a74c5419a464,,Adventure novel,Il richiamo della foresta,1903 novels American adventure novels American novels adapted into films Klondike Gold Rush Novels by Jack London Novels first published in serial form Novels set in Yukon Works originally published in The Saturday Evening Post,,
68,d9a76e97-ed1f-427b-bdda-8b419d02c99d,,,Il segno dei quattro,1888 in fiction 1890 novels British India History of the Andaman and Nicobar Islands Indian Rebellion of 1857 Sherlock Holmes novels by Arthur Conan Doyle Victorian novels Works originally published in Lippincott's Monthly Magazine,,Lippincott's Monthly Magazine
69,39bc2051-6b72-48a9-9bb0-b7e536a907e5,Fantascienza,Fantascienza,Beyond This Horizon,1942 novels Eugenics in fiction Novels by Robert A. Heinlein,Robert Anson Heinlein,
70,9f25f7da-636c-476d-bcf7-11845f3a3c7b,Racconto,Racconto Romanzo poliziesco,Tommy e Tuppence,1929 short story collections Works originally published in The Grand Magazine,,Dodd  Mead and Company
71,de02a41e-3f7a-498f-9e69-2bbcb29a2096,,Fantascienza Romanzo,Noi marziani,1964 novels Novels first published in serial form Works originally published in Worlds of Tomorrow (magazine),Philip K. Dick,Ballantine Books
72,eadd7979-564a-42d1-9163-d01e37a9cb5d,Letteratura gialla,,Aiuto  Poirot!,1923 novels Novels first published in serial form Novels set in France Works originally published in The Grand Magazine,Agatha Christie,The Bodley Head
73,7ed6f132-0bae-49fc-98f9-e9cb423bef1d,,Romanzo,Marriage (novel),1912 novels British novels Novels by H. G. Wells,,Macmillan Publishers
74,702fad4d-5491-40dc-a83a-3b95c4dcde07,Fantascienza,Science fiction stories and essays,All the Myriad Ways,,Larry Niven,Ballantine Books
75,86072e5a-5f89-45c3-a313-e8f47933112e,,,Marine (book),Books by Tom Clancy United States Marine Corps in popular culture,Tom Clancy,Berkley Books
76,adbfde8f-3a0d-4e8c-9032-194945399a6e,Era georgiana Romanzo rosa,Era georgiana Romanzo rosa,The Convenient Marriage,Romance novels,Georgette Heyer,Heinemann (publisher)
77,c88057c3-8890-492a-bc48-92df812fa194,Antologia,Letteratura dell'orrore,Robert Bloch's Psychos,1997 short story collections Horror anthologies Martin H. Greenberg anthologies,List of Latin phrases (E) Stephen King,
78,adfe2d6d-b969-42dd-9234-31a42f53a579,Fantascienza Fantasy literature Letteratura dell'orrore,Fantascienza Letteratura dell'orrore,Terre desolate,1990s fantasy novels American horror novels Sequel novels The Dark Tower novels,,
79,76258477-50da-4d0f-80f4-0960b6e084ec,,Fantascienza,The Father-Thing (collection),1989 short story collections Short story collections by Philip K. Dick,Philip K. Dick,Victor Gollancz Ltd
80,c5320e05-1c1d-4f48-8cd3-84fc035944c6,Fantascienza Letteratura dell'orrore Romanzo gotico,Fantascienza Letteratura dell'orrore,Taltos  il ritorno,1994 novels Alfred A. Knopf books,Anne Rice,Alfred A. Knopf
81,c1d49f1a-7640-4ae8-b132-53459068e8d6,,,Il mondo perduto (Arthur Conan Doyle),1912 novels British fantasy novels Edwardian era Lost world novels Novels set in Bolivia Prehistoric fantasy novels Professor Challenger novels Works originally published in The Strand Magazine,Arthur Conan Doyle,Hodder & Stoughton
82,57337599-570b-4172-9382-8ebc3d0eff5c,Mystery fiction,Mystery fiction,And the Hippos Were Boiled in Their Tanks,2008 novels 21st-century American novels Beat novels Novels by William S. Burroughs,Jack Kerouac,Grove Press Penguin Books
83,4a338a96-0863-4a5b-a892-b1ac86243f59,Fantascienza,Fantascienza,The Ghost from the Grand Banks,British science fiction novels Victor Gollancz books,Arthur C. Clarke,Bantam Spectra Victor Gollancz Ltd
84,62c5e7d0-d22c-4c75-8972-71810df52c20,,English_Georgian Romanzo rosa,Faro's Daughter,1941 novels Historical novels Novels by Georgette Heyer,Georgette Heyer,Heinemann (publisher)
85,5553b20d-bd1d-476d-a089-30c038276e2f,Scienza,Saggio Scienza,The Solar System and Back,Essay collections by Isaac Asimov Works originally published in The Magazine of Fantasy & Science Fiction,Isaac Asimov,
86,fa5c6243-2c27-4a31-a15d-c0747feea605,Fantascienza,Fantascienza,Svegliatevi  dormienti,1960s science fiction novels 1966 novels Overpopulation fiction,,Ace Books
87,36271e7a-12d5-4be3-992f-397cf08bedc4,Fantascienza,Fantascienza,Uova fatali,1924 novels Works by Mikhail Bulgakov,Michail Afanas'eviÑ Bulgakov,
88,b05e1125-8c4a-46b8-b814-0e3ea8606fdc,,Fantascienza,Lucky Starr e gli anelli di Saturno,1958 novels Science fiction novels by Isaac Asimov Works published under a pseudonym,Isaac Asimov,Doubleday
89,b062afad-2b24-4c5a-a325-9c094181e044,Romanzo di avventura,,Cleopatra (1889 novel),1889 novels Cultural depictions of Cleopatra VII English historical novels Novels set in Ancient Egypt,,Longman
90,b08430a9-a6a8-484b-b6fd-fa37e28e951f,,Fantascienza Racconto,The Short Happy Life of the Brown Oxford (collection),Short story collections by Philip K. Dick,Philip K. Dick,
91,df7e9f6d-aea1-47cc-8d84-a69f9c3d0090,Fantascienza,,This Perfect Day,1970 novels Dystopian novels Novels by Ira Levin Prometheus Award winning works Random House books,,Random House
92,016413b9-3a6c-4d4f-8f8d-3c282364c24c,Romanzo,,Memoirs of Joseph Grimaldi,English clowns,Charles Dickens,
93,341b7b5d-9998-44cd-b411-eb4109a64633,High fantasy Romanzo di avventura Ucronia,Fantasy High fantasy Romance (heroic literature),Influenze su John Ronald Reuel Tolkien,Tyrfing cycle VÍ_lsung cycle,John Ronald Reuel Tolkien,Allen & Unwin
94,959942b4-c307-4749-ac44-4ab75c43b817,,Mystery fiction,Altri racconti dei Vedovi Neri,1976 short story collections Mystery short story collections by Isaac Asimov,,Doubleday
95,756f7d9e-2b1c-4cf0-a1bb-ba3ced985960,,,The History of The Hobbit,2007 books Books about Middle-earth The Hobbit,John Ronald Reuel Tolkien,HarperCollins
96,ba033920-744a-44f5-bb1c-b9a8c6a01348,,Classics  satire  educational animation,La fattoria degli animali,1945 novels Allegory Animals in media British novellas British satirical novels Dystopian novels English novels Hugo Award for Best Novella winning works Literature featuring anthropomorphic characters Novels about totalitarianism Prometheus Award winning works,George Orwell,Harvill Secker
97,b2096433-0a79-406b-834f-061d345760ec,Letteratura gialla,Letteratura gialla,In tre contro il delitto,1939 short story collections Miss Marple short story collections Short story collections by Agatha Christie,,
98,a917d9ee-4f64-4206-9620-e0d4de88c9e1,Romanzo di avventura,Romanzo di avventura,Family Without a Name,1837 in fiction 1889 novels Lower Canada Rebellion Novels by Jules Verne,Jules Verne,
99,2ff7c0b2-def2-41ef-b172-c3e14b4804f7,,,La leggenda di Sigurd e GudrÍ_n,2009 books HarperCollins books Norse mythology in art and literature Novels set in the Viking Age Poetry by J. R. R. Tolkien VÍ_lsung cycle,John Ronald Reuel Tolkien,HarperCollins Houghton Mifflin
100,f5942b83-b823-419a-ae93-f84e15777894,,,La perla (romanzo),1947 novels American novellas Novels by John Steinbeck Viking Press books,,Heinemann (publisher) Viking Press
101,628ac8f3-3542-480e-bcd9-626eb4a90f1b,Biografia,Biografia,William Wetmore Story and His Friends,Houghton Mifflin books,,Houghton Mifflin William Blackwood
102,e7d3f33b-fd28-424f-b938-f3657f775b05,,Romanzo di avventura,Invasion of the Sea,Novels by Jules Verne Novels set in Africa,Jules Verne,Pierre-Jules Hetzel
103,a778ab59-8c53-47bb-a417-c17a3717b9ca,Letteratura gialla,Letteratura gialla,La serie infernale,Collins Crime Club books Hercule Poirot novels Novels first published in serial form Works originally published in Cosmopolitan (magazine),,Collins Crime Club
104,b8523392-c924-4c3e-80ef-fb31e92c391d,Non-fiction Politica,Non-fiction,Omaggio alla Catalogna,1938 books Anarchism in Spain Barcelona in the arts and media History of Catalonia Spanish Civil War books Works about Stalinism,,Harvill Secker
105,6b6efe60-8322-44e0-8c62-56a951a1a96d,,,Visioni di robot,1990 short story collections Essay collections by Isaac Asimov Science fiction short story collections by Isaac Asimov,Isaac Asimov,Roc Books
106,3c38fb09-146e-4695-a1db-7bce0d99f7e5,Letteratura dell'orrore,Letteratura dell'orrore,Il giro di vite,1898 novels American novellas American novels adapted into films Fiction with unreliable narrators Gothic novels Horror novels Masterpiece Theatre Novels by Henry James Novels set in Essex,Henry James,
107,b493b6aa-bd43-4afb-8ed6-00695d482618,,Fantascienza,I robot dell'alba,20th-century American novels Foundation universe books Mystery novels by Isaac Asimov Science fiction novels by Isaac Asimov,Isaac Asimov,
108,a55630b1-0768-43cb-92b9-54d6e2114361,,Letteratura gialla,PerchÍ© non l'hanno chiesto a Evans?,1934 novels Novels first published in serial form Works originally published in Redbook,Agatha Christie,Collins Crime Club
109,0c9ed583-1a00-4f0f-bc01-1e7802ea18e0,,,Il teatro di Sabbath,1995 novels 20th-century American novels Novels by Philip Roth,Philip Roth,Houghton Mifflin
110,fd1a03b4-2131-451e-a72c-cbd67c3164fa,Fantasy literature,Fantasy literature,The Throne of Fire,2010s fantasy novels American adventure novels American fantasy novels Ancient Egypt in fiction The Kane Chronicles,,Hyperion Books
111,8ebae368-2208-4fb2-82d0-b5bc964c6e0d,,Novel,Fiducia (romanzo),1879 novels 19th-century American novels Chatto & Windus books Novels by Henry James Novels first published in serial form Works originally published in Scribner's Magazine,,Chatto & Windus
112,fb64e2f8-16a9-4d63-87bf-56837f518b62,Romanzo,,The Wife of Sir Isaac Harman,1914 novels British novels Novels by H. G. Wells,H. G. Wells,
113,26e8f16b-d37c-4026-bed5-9d64eb45482d,,Romanzo poliziesco,Il ritorno di Sherlock Holmes,1905 short story collections Collections of Sherlock Holmes stories by Arthur Conan Doyle,Arthur Conan Doyle,
114,140e5c61-b991-4097-a108-d85d80cf503f,Biografia,Biografia,The Story of a Great Schoolmaster,Chatto & Windus books,,Chatto & Windus
115,0019f4f0-e027-4340-806d-1efd1bf788d5,Fantascienza,Fantascienza Romanzo,Lucifer's Hammer,American post-apocalyptic novels Impact event novels Literary collaborations,Larry Niven,Playboy
116,b70821a3-639a-4f59-89fc-6e6d839865ac,Letteratura dell'orrore Romanzo gotico,Romanzo gotico,Shining (romanzo),1977 novels Alcohol abuse in fiction American novels adapted into films Domestic violence in fiction Ghosts in popular culture Novels set in hotels,Stephen King,Doubleday
117,2a0aafda-829d-4b24-bc71-1af83b839cf2,Romanzo di avventura,,Tarzan's Quest,1930s fantasy novels 1936 novels,Edgar Rice Burroughs,Edgar Rice Burroughs  Inc.
118,958a1e59-85ea-4720-9099-2e8b06d485e1,Regency era,,False Colours,1817 in fiction 1963 novels Novels by Georgette Heyer The Bodley Head books,Georgette Heyer,The Bodley Head
119,b754582c-86a2-4087-b9ae-9f39331214fb,,Fantascienza,Fleet of Worlds,2000s science fiction novels American science fiction novels Known Space locations Known Space stories Novels by Larry Niven,Edward M. Lerner,Tor Books
120,b9cf7d9b-aee2-413a-8ebb-30b58ed77a49,Beat Generation,Beat Generation,References in On the Road,,Jack Kerouac,Viking Press
121,ecb6355f-9035-4bb1-ac8c-2a1463ff3c9d,Mystery fiction Romanzo gotico,Absurdist fiction Mystery fiction Romanzo gotico Steampunk,L'ostile ospedale,Books in A Series of Unfortunate Events Novels set in hospitals,Lemony Snicket,
122,b7b5c1ab-8e46-48dd-a7de-4d067ed21bdc,Romanzo,,Watch and Ward,1878 novels Debut novels Novels about orphans Novels by Henry James Works originally published in The Atlantic (magazine),Henry James,
123,73ee1155-5809-43b9-864c-9c94b5975623,Mystery fiction,Detective  Crime  Mystery  Novel,Uno studio in rosso,1887 novels Cultural depictions of Brigham Young Novels set in Utah Sherlock Holmes novels by Arthur Conan Doyle Victorian novels,,Ward Lock & Co
124,bbc3860b-25f8-4a14-8867-bbb2481b58f8,Fantascienza,,L'orlo della Fondazione,1982 novels 20th-century American novels Foundation universe books Hugo Award for Best Novel winning works,,Doubleday
125,576e774c-00c9-430b-b480-4c26211bb871,English_Georgian,Romanzo rosa,Devil's Cub,1932 novels Novels by Georgette Heyer,Georgette Heyer,Heinemann (publisher)
126,c3301c2d-de1f-4a20-80ce-0e7604a597cb,Letteratura per ragazzi,,The Voyages of Doctor Dolittle,1920s fantasy novels 1922 novels British children's novels Newbery Medal winning works,Hugh Lofting,
127,a3311f8d-2d07-4b03-8500-ca1165e19afe,Letteratura gialla,,Non c'ÍÎ piÍ_ scampo,1936 novels Collins Crime Club books Hercule Poirot novels Novels set in Iraq Works originally published in The Saturday Evening Post,Agatha Christie,
128,ef4c9236-b272-4d4b-a747-b54c5cbda310,Regency era,Regency era,Un gentiluomo senza pari,1816 in fiction 1817 in fiction 1962 novels Historical novels Novels by Georgette Heyer,Georgette Heyer,
129,df3ec7ef-c6f4-40bb-871c-ebd21849d82b,,memoir,Patrimony,American memoirs,Philip Roth,Simon & Schuster
130,183de7a2-d59b-4c9b-b919-5b4ec9a53cdf,,Non-fiction anthology,Reading Myself and Others,Farrar  Straus and Giroux books,Philip Roth,Farrar  Straus and Giroux
131,d8a9df1a-380c-450f-933b-5b9d78b9d66d,Play (activity),,Beat Generation (play),American plays,Jack Kerouac,
132,ef711dd1-0a96-47e1-86c0-13fb8958e038,Romanzo,,The Ghost Writer,1979 novels 20th-century American novels American novels adapted into films Novels by Philip Roth,Philip Roth,Farrar  Straus and Giroux
133,7d77e93e-1058-461e-91f0-a3c87817f916,Fantascienza,Fantascienza,Asimov Story,,Isaac Asimov,Doubleday
134,cce80e0c-8c2f-4210-88fd-c7fe838547dd,Autobiografia,Autobiografia,The Road to Wigan Pier,Books about poverty Victor Gollancz books,George Orwell,
135,1388b9a0-29f9-4bcb-b211-541c6d4c31e4,Romanzo di avventura,Fantascienza,Il padrone del mondo (Verne),1900s science fiction novels 1903 in fiction 1904 novels Aviation novels Novels by Jules Verne Novels set in North Carolina,Jules Verne,Pierre-Jules Hetzel
136,44c5d837-ef45-42a3-ad0f-54337777c092,Mystery fiction,,Who Could That Be at This Hour,2012 novels Works by Lemony Snicket,Lemony Snicket,
137,fccbb8d2-1851-4bb5-8ffc-fa3e4244cd3d,Romanzo di avventura,,Foundling Mick,1893 novels Novels about orphans Novels set in Ireland,,Pierre-Jules Hetzel
138,bbc4d3bd-e670-41fc-a624-bb6bb0b0474b,,Romanzo,Contro tutti,2011 novels 21st-century American novels Thriller novels,Peter Telep Tom Clancy,Penguin Group
139,47fe0cd8-d0ee-4548-85fb-b15244d345fc,,Romanzo storico,The Kingdom of the Wicked,Books about Nero Novels adapted into films Novels by Anthony Burgess Novels set in Ancient Rome,Anthony Burgess,Hutchinson (casa editrice)
