id,class,literaryGenre,genre,label,subject,author,publisher
1356,a49f5e69-8c77-4a63-bdba-d9c612631a80,,,published scribner  novella  henry james,Novellas Works originally published in Scribner's Magazine,,
1357,a4bca3f2-3d21-4399-a85b-a74c5419a464,,,publishers united  publishers united states  macmillan publishers united  jack london  united states,American novels adapted into films Animal cruelty in fiction Dogs in literature Klondike Gold Rush Novels set in Yukon Works originally published in The Saturday Evening Post 1903 novels,Jack London,Macmillan Publishers (United States)
1358,a4c0fc96-322f-4109-aa03-95b67a6028b6,,,macmillan publishers  henry james  casamassima  princess  category1886 novels,1886 novels 19th-century American novels,,Macmillan Publishers
1359,a50f1cbf-21dd-411b-be7d-1862271ae1f2,Science fantasy,Science fantasy,science fantasy  edgar rice  edgar rice burroughs  rice burroughs  synthetic,American science fiction novels 1940 novels 1940s science fiction novels Works originally published in Argosy (magazine),,Edgar Rice Burroughs  Inc
1360,a55630b1-0768-43cb-92b9-54d6e2114361,Crime fiction,,crime club  ask  didn  originally published redbook  published redbook,Collins Crime Club books Novels by Agatha Christie 1934 novels,Agatha Christie,Collins Crime Club
1361,a578d847-8a76-43c1-ae34-292d0993dbc9,Science fiction,,vulcan  category2029  hammer  k dick  philip k dick,American science fiction novels 2029 in fiction,Philip K Dick,
1362,a5b4881f-8904-4d71-a004-3e8026b027c1,,Science fiction,c clarke  arthur c clarke  arthur c  revealed  gentry lee,1993 novels,Gentry Lee,Victor Gollancz Ltd
1363,a5c2915b-418e-40fc-90a2-f7d63ea7b155,Science fiction,Science fiction,c clarke  arthur c clarke  arthur c  garden  gollancz ltd categorynovels,Literary collaborations Novels by Arthur C. Clarke 1990s science fiction novels 1991 novels 20th-century American novels,,Victor Gollancz Ltd
1364,a5fa5c5f-9148-4a3d-b2fb-e99b8cf211c6,,,j g ballard  g ballard  j g  flamingo  paradise,Novels set in Oceania 1994 novels,J G Ballard,Flamingo Press
1365,a60a9e1b-3acd-4422-bd6d-999797e935fd,,Science fiction,mercury  categorymercury  isaac asimov  lucky starr  big,American science fiction novels Works published under a pseudonym 1956 novels,Isaac Asimov,
1366,a62af618-4ce5-418b-a7be-0ba573ffba14,,Novel,wife  g wells  harman,Novels by H. G. Wells,,
1367,a6316e9f-97e0-4e07-be68-08f15158d19c,,,dorothy l sayers  mystery fiction  carcase,1932 novels Mystery!,,
1368,a6aeae63-5804-4f62-bfa6-b2670d441921,,,crime club  came  categorynovels set iraq,Novels by Agatha Christie Novels first published in serial form,Agatha Christie,
1369,a6d81bca-6eeb-4d01-9411-ee2727f74b43,Crime fiction,,crime club  cypress  sad  category1940 novels  crime fiction,Collins Crime Club books Hercule Poirot novels 1940 novels Works originally published in Collier's Weekly,Agatha Christie,
1370,a75e406e-ced1-4f3a-9a8b-97ed10a3ea68,Detective fiction,,arthur conan  conan doyle  arthur conan doyle  detective fiction  doran,Novels set in Sussex Sherlock Holmes novels by Arthur Conan Doyle 1915 novels,Arthur Conan Doyle,
1371,a778ab59-8c53-47bb-a417-c17a3717b9ca,,,crime club  abc  published cosmopolitan  originally published cosmopolitan  cosmopolitan magazine,British novels adapted into films Collins Crime Club books Hercule Poirot novels Novels set in England 1936 novels,Agatha Christie,
1372,a79862d5-346f-4dc6-acd2-0263c9eb1ec6,,,ring  fellowship  fantasy  categorythe lord rings  lord rings,Sequel novels 1950s fantasy novels,J R R Tolkien,
1373,a79a028e-e2dd-4d23-a660-9ac16320a012,,Short story,man collection  k dick  philip k  philip k dick  golden,,Philip K Dick,
1374,a7a4816d-ffd7-4367-b597-f6161bfafbe3,,,princess  henry james  category1886 novels,Works originally published in The Atlantic (magazine),Henry James,
1375,a7d27e9e-c9af-435a-be81-67549d527a2a,,Novel,anthony burgess  clapping  hand  one  category1961 novels,Works published under a pseudonym 1961 novels,Anthony Burgess,
1376,a7da85ba-da25-48b3-b83f-26a6b1c0b83c,,Novel Science fiction,larry niven  science fiction  holt mcdougal  galaxy science fiction  categorydying earth,Hard science fiction Impact event novels Novels by Larry Niven Novels first published in serial form Time travel novels Works originally published in Galaxy Science Fiction 1976 novels,,
1377,a8316e85-5709-45b9-b0e9-7dec73ff402d,Crime fiction,Crime fiction,james ellroy  categorynovels boxing  categoryblack,Black Dahlia case,,
1378,a85971b8-544a-4d2e-9318-f4f29877a0b4,,Science fiction,complete  isaac asimov  category1982 short story  category1982 short  robot,Foundation universe books,Isaac Asimov,Doubleday (publisher)
1379,a86b96e0-54c0-49d7-a325-439d177bc768,Science fiction,,brian herbert  j anderson  kevin j  kevin j anderson  butlerian,Dune novels Novels by Kevin J. Anderson,Brian Herbert,
1380,a8f2a39e-8f61-4c7e-8cdb-d457338cf906,,Novel,category1925  london  alberta  christina  h g,1925 novels,,
1381,a917d9ee-4f64-4206-9620-e0d4de88c9e1,,,categorycanada  categorylower  category1837  without  name,Canada in fiction Lower Canada Rebellion 1838 in fiction 1889 novels,Jules Verne,Pierre-Jules Hetzel
1382,a91c1e8a-300d-4192-879e-47f7dddddf9b,,Science fiction,george r  george r r  r r martin  r martin  r r,American science fiction novels 2007 novels,Daniel Abraham (author) George R R Martin,HarperCollins
1383,a93c6efc-bf70-44f1-9f40-a826b67482c6,Science fiction,Science fiction,robert heinlein  categorynovels set iowa  categorytrans neptunian  neptunian objects  puppet,Alien invasions in novels American science fiction novels Novels by Robert A. Heinlein,,Doubleday (publisher)
1384,a9db882c-f2a7-40bb-959e-9e015ac8e3cc,,,crime fiction  flood  category1946,1946 in fiction 20th-century American novels,,
1385,a9dcbe74-7e5d-469e-a10c-91e97705cad0,,,morrow company  anthony burgess  mouthful,,Anthony Burgess,Hutchinson (publisher)
1386,a9e91b3d-59ca-471c-8668-78e3709c2b5a,Science fiction,Science fiction,c clarke  arthur c clarke  arthur c  trigger  kube,HarperCollins books Literary collaborations 1999 novels,Arthur C Clarke,Bantam Spectra HarperCollins
1387,aa1005a1-f1a2-40e3-a70e-0bb8e8d98a6e,,,edgar rice  edgar rice burroughs  opar,Lost world novels 1910s fantasy novels,,
1388,aa606d4b-27eb-4ef6-a08d-f0c4f330b950,,,stephen king  categorynovels richard bachman  richard bachman,Novels by Stephen King 1982 novels,,
1389,aadc1b43-30c0-4ae8-bbef-fb07a27b5bf4,,,pittsburgh  half  horror fiction  categoryfilms set  stephen king,Metafictional works Novels set in Maine Viking Press books Films set in Pittsburgh  Pennsylvania,,Viking Press
1390,aadda0d1-cd2f-4d5f-aa7e-eb1961af7192,Crime fiction,Crime fiction,bodley head  links  set france  categorynovels set france  grand magazine,Hercule Poirot novels The Bodley Head books,,
1391,aae1b42c-bf5a-4cdc-8b26-90f9e98ad682,,,g wells  h g  h g wells  fourth  chatto windus,Books by H. G. Wells Political books,,
1392,ab36e714-4111-4cb3-9cbe-60f9cd45979a,,,edgar rice  rice burroughs  edgar rice burroughs  invincible  adventure fiction,Novels first published in serial form 1931 novels,Edgar Rice Burroughs,Edgar Rice Burroughs  Inc
1393,ab4f6842-412a-4f05-994a-5c73b375da50,,,paycheck  philip k dick  k dick,2004 short story collections,,Victor Gollancz Ltd
1394,abebda87-6056-43fd-b223-f5448ea86391,,,thriller genre  categoryterrorism  shooter,Films based on mystery novels Tom Clancy,,G P Putnam's Sons
1395,abfe1d72-3c8f-4010-b797-a5c9f1742d61,Science fiction,,stephen baxter  category2047  transcendent  categorytranshumanist books  orion publishing,Transhumanist books Xeelee sequence,Stephen Baxter,
1396,ac4b98cc-d676-4e9f-ada3-c41bf169bb3e,,Short story,published grand magazine  published grand  odhams,,Agatha Christie,
1397,ac4c3a23-78e2-4abf-850b-f07dd8c06f41,,Dystopia Science fiction,dystopia  albemuth  radio  free  philip k dick,Novels by Philip K. Dick Novels published posthumously 1985 novels,Philip K Dick,
1398,ac4dfeeb-debc-4b73-a5f3-1e73d56de9e8,,,windows  month club  book month  book month club  category2000 books,Books about writing Books by Stephen King 2000 books,,
1399,ac7dc82c-82ba-4072-b889-1658953e981f,Crime fiction,Crime fiction,en  hallowe  party  originally published woman  published woman,Works originally published in Woman's Own,Agatha Christie,Collins Crime Club
1400,ac8974a0-b4bb-4366-94bc-927998609881,Science fiction,,j g ballard  g ballard  j g  myths  near,1982 short story collections,J G Ballard,Jonathan Cape
1401,acbe20bb-15ce-4c73-8736-f7b1cc3ee2a7,,,shadow  2012  fantasy literature  serpent  egypt fiction,American adventure novels American fantasy novels 2010s fantasy novels,Rick Riordan,
1402,ad081e48-2dba-4af4-8af2-e8256399d0f8,,,poetry  jack kerouac  mexico city  categoryamerican poetry  categoryamerican poetry collections,Poetry by Jack Kerouac,,Grove Press
1403,ad4d2306-32b2-42ad-ae79-d5c310da7e2b,,,g wells  h g  h g wells  undying  category1919 novels,1919 novels,H G Wells,
1404,ad625c48-9da2-4aaa-96fb-390ff9779676,,,categorybisexuality related  easton ellis  less,1985 novels,Bret Easton Ellis,
1405,ad6e5102-e598-4980-8ef0-8a1a71a48e21,,Short story,sibyl  k dick  philip k  philip k dick  collection,,Philip K Dick,
1406,aded2b00-fee7-49cb-b23f-6a6cddc9fc57,,,pellucidar  tanar  edgar rice burroughs,American fantasy novels Novels about dinosaurs Works originally published in Blue Book (magazine),,
1407,ae011e57-9e1f-4e5f-9ae0-d726d908fcd3,,,charles dickens  italy  non fiction,Books about Rome Books by Charles Dickens,,
1408,ae2daa93-4a0c-4ad7-bc71-ef06672d83c3,Horror fiction Suspense,,category2010 short story  category2010 short  suspense,,,
1409,aea1409a-4a09-4c76-8765-ca8c3a3303cb,,Fantasy literature,fantasy literature  stephen king  dragon  eyes  category1987 novels,American fantasy novels Novels by Stephen King 1987 novels,Stephen King,
1410,aead8d07-1f05-4a8a-97de-24f858298358,Novel,,henry james  illustrated  news  category1896 novels  category19th century american,British novels Novels by Henry James Novels first published in serial form Works originally published in The Illustrated London News,,Macmillan Publishers
1411,aeb3c8fa-449d-4845-a893-8d4d5d164b4f,Horror fiction,,categorynovellas stephen  categorynovellas stephen king  horror fiction  mist  stephen king,,Stephen King,New American Library Viking Press
1412,aed12091-c106-4df2-b093-6da3f062f59c,Adventure fiction,,category1965 short story  category1965 short  story collections  castaways  edgar rice burroughs,Fantasy short story collections Short story collections by Edgar Rice Burroughs 1965 short story collections,,
1413,aee23403-b7d7-4591-b3db-11d16aad7c06,Adventure fiction,,dardentor  clovis  jules verne  category1896 novels  adventure fiction,Novels by Jules Verne 1896 novels,,Pierre-Jules Hetzel
1414,aef27db3-a3d0-49b0-9359-4d32b216950d,,,categoryadolf  vienna  ira levin,Novels by Ira Levin Random House books 1976 novels,,
1415,af29a673-e2d2-4771-bddd-a98355a69490,,Adventure fiction,island  set san  categorynovels set san  california  categoryfloating,Novels by Jules Verne Novels set on islands 1895 novels Novels set in San Diego  California,,Pierre-Jules Hetzel
1416,afbb39a6-dfcb-46ee-8f19-71e1637d067f,Thriller (genre),Thriller (genre),tom clancy  thriller genre  sum  terrorism  fears,Novels about terrorism Ryanverse 20th-century American novels,,G P Putnam's Sons
1417,aff43503-eede-4145-ab20-8a427e0d6bbd,,Historical novel,historical novel  categorysonnet  abba,Sonnet studies,,
1418,b04f2caa-e670-4961-b53a-82a7017126c0,Novel,,j m coetzee  m coetzee  j m  slow  australia,2005 novels,,Harvill Secker
1419,b0804181-62c2-47f6-b7f7-be53fec54800,Science fiction,,c clarke  arthur c clarke  arthur c  comarre  category1968 short story,,Arthur C Clarke,
1420,b099832b-db24-403f-8a27-b35926f52b38,,Novel,isaac asimov  foundation  category1951 novels  gnome press  science fiction fact,Foundation universe books 1951 novels,Isaac Asimov,
1421,b0ac0542-6316-4414-99e7-aab5253fe5d8,,,category1993 novels  flux  categoryxeelee sequence,1993 novels,Stephen Baxter,HarperCollins
1422,b0bdd39d-972c-41ec-8e41-f2ebc14557ee,,,thriller genre  categoryfreemasonry  dan brown,Novels by Dan Brown Sequel novels,Dan Brown,
1423,b1002ae7-177c-496a-a972-2068eb413de6,,Techno- (genre),techno genre  tom clancy  alive  blackwood  penguin group,Novels by Tom Clancy Political thriller novels 21st-century American novels,Tom Clancy,Penguin Group
1424,b1059b71-fac5-468b-95fb-0ce990c8596d,,,bodley head  adversary  published times  originally published times  category1922 novels,Novels set in London Works originally published in The Times,Agatha Christie,The Bodley Head
1425,b1398274-2556-4c38-8df2-acbf21badd02,Detective fiction,Short story,story collections  short story  sin,,,Dodd  Mead and Company
1426,b152561d-0a95-4215-93b9-c051421d8fdb,,Novel,social criticism  charles dickens  category1854  published household  published household words,English novels Novels by Charles Dickens Victorian novels Works originally published in Household Words 1854 novels,Charles Dickens,
1427,b16e5605-db20-495f-b9e6-4509a4f725f3,,,henry holt company  friday  engineered,1980s science fiction novels 1982 novels,,
1428,b2063bd9-60e9-471b-a823-200f2dbe8684,Science fiction,,c clarke  arthur c clarke  arthur c  mike  mcquay,Novels about orphans Novels by Arthur C. Clarke Victor Gollancz books 1996 novels,Arthur C Clarke Mike McQuay,
1429,b25ff1c4-779d-4e7c-a1df-4b101e101bf6,Regency era,Detective fiction,regency era  detective fiction  georgette heyer  romance novel  toll,Adventure novels 1817 in fiction,,Heinemann (publisher)
1430,b2801236-fc75-4bc5-a731-9431707ad28d,,,creation  g ballard  category1980s fantasy novels,Novels by J. G. Ballard 1987 novels,,
1431,b313efdb-c9dc-4337-88bc-8186872024bc,,,colonialism  anthony burgess  blanket  categorynovels set malaysia  set malaysia,1958 novels,Anthony Burgess,Heinemann (publisher)
1432,b33ed31f-6851-40cb-9dd6-0128a4ea250c,,Adventure fiction,kip  jules verne  category1902 novels  adventure fiction  brothers,Novels by Jules Verne,Jules Verne,Pierre-Jules Hetzel
1433,b380409d-e9be-49f4-b62b-00d4b6ec2adc,,,poetry  jack kerouac  mexico city,American poetry collections 1959 poems,,
1434,b3a3a46c-0295-47ac-b96d-c0f6ba602c87,,,children literature  jb lippincott co  green,1950s fantasy novels,,JB Lippincott & Co
1435,b3fc11e2-9b29-46c8-8d17-5f6c2678c270,,Autobiographical novel,autobiographical novel  j g ballard  g ballard  j g  kindness,HarperCollins books 1991 novels Farrar  Straus and Giroux books,J G Ballard,HarperCollins
1436,b4006b23-0608-4013-ba81-9b792ef2811f,,Fantasy Political strategy,political strategy  r r martin  george r,,,Bantam Spectra
1437,b40e2e76-47ec-4c74-9208-283cdc8c7eff,Alternate history,,alternate history  castle  categoryalternate nazi  categoryalternate nazi germany  germany novels,Hugo Award for Best Novel winning works Metafictional works Novels by Philip K. Dick World War II alternate histories 1960s science fiction novels 1962 novels Novels set in San Francisco  California,Philip K Dick,G P Putnam's Sons
1438,b46bacfc-bac1-4798-9eb7-19d933dbcaa8,,Crime fiction,emeralds  attenbury  category1951 fiction  category1921 fiction  jill paton,Crime novels English novels World War II novels 1921 in fiction 1951 in fiction,,Hodder & Stoughton
1439,b485b3e9-5fcd-46d8-8398-baf8ab52c97a,,,categorymisogyny  depression novels  john steinbeck,Novels set in California,,Pascal Covici
1440,b49bd992-6f8b-4917-8810-aca8fd2a4dae,Fantasy Short story,,g wells  h g  h g wells  category1899  story collections h,Short story collections by H. G. Wells,H G Wells,
1441,b4bede8d-2f38-44db-809c-18e162338140,,,published magazine fantasy  category1991 books  isaac asimov,Essay collections by Isaac Asimov 1991 books,,
1442,b5039ddb-244e-48b2-bb09-c5b4b02de088,Short story,,adkins  guidry  forgotten  category2001 short  category2001 short story,Short story collections by Edgar Rice Burroughs,Edgar Rice Burroughs,
1443,b515a5d8-ab89-4c7e-b79a-b2d3d1969490,,Romance novel,bodley head  regency era  georgette heyer  romance novel  quality,Historical novels Novels by Georgette Heyer The Bodley Head books 1972 novels,Georgette Heyer,The Bodley Head
1444,b537aa70-b2c1-4be7-a8ba-92e6a06e6921,,Adventure fiction,set north carolina  flag  north carolina  jules verne  categorymilitary fiction,French science fiction novels Military fiction Pirate books 1890s science fiction novels 1896 novels,Jules Verne,
1445,b56a0884-c070-4bbc-8e18-ea92e3b8aa01,,,sinclair lewis  harcourt publisher  dakota  vermont  arrowsmith,American novels adapted into films Novels by Sinclair Lewis Novels set in North Dakota Novels set in Vermont 1925 novels 20th-century American novels,Sinclair Lewis,
1446,b5891929-8257-437b-9d88-9cac9df817dc,,Horror fiction,cujo  categoryrabies  horror fiction  stephen king  illness fiction,Mental illness in fiction Novels by Stephen King Novels set in Maine Viking Press books,,Viking Press
1447,b5d45550-217a-41e4-85ed-663a491d46f1,Romance novel,,georgette heyer  child  friday,1944 novels,,
1448,b62e1d8b-fc76-4835-a2ee-40eb105a1e55,Science fiction,Science fiction,odyssey  c clarke  arthur c clarke  arthur c  category11th millennium,British science fiction novels Jupiter in fiction Novels by Arthur C. Clarke 11th millennium and beyond in fiction 1980s science fiction novels,,
1449,b639566b-ac3f-46c7-a319-d54f1df88da4,,,j g ballard  g ballard  j g  nowhere  wind,British science fiction novels Debut novels Novels by J. G. Ballard 1961 novels,,Berkley Books
1450,b645fa36-a713-4b6f-8fc8-a937fc64090f,,,edgar rice  rice burroughs  edgar rice burroughs  category1957 books  science fiction fantasy,Works originally published in American magazines 1915 novels 1957 books,,
1451,b6460076-b9d3-4695-8753-5066d05de336,,Science fiction,categorythe space  categorythe space trilogy  space trilogy  bodley head  perelandra,British science fiction novels Sequel novels 1943 novels,,
1452,b6a48101-a4f4-465b-8060-0fbc4f84858e,Horror fiction,Horror fiction,anne rice  gothic fiction  rapists  lasher  horror fiction,Alfred A. Knopf books American horror novels Fictional rapists Novels by Anne Rice 1993 novels,Anne Rice,Alfred A Knopf
1453,b6add8da-77fd-4b10-acfb-5583e4b56739,,,steampunk  extraordinary gentlemen  league extraordinary gentlemen  league extraordinary  j anderson,American alternate history novels Novels about writers Novels based on films Novels by Kevin J. Anderson The League of Extraordinary Gentlemen,,Pocket Books
1454,b6e6506c-3a2c-4817-a68d-96cadd57ee3d,,Novella,philip roth  novella  breast  categoryshapeshifting fiction  category1972 novels,Novels by Philip Roth Shapeshifting in fiction 1972 novels 20th-century American novels,,
1455,b706f810-0a79-4b92-aa68-ab3b642def0b,,,category1916 novels  edgar rice  rice burroughs  edgar rice burroughs  beasts,American adventure novels Tarzan novels by Edgar Rice Burroughs 1910s fantasy novels 1916 novels Works originally published in Argosy (magazine),,A C McClurg
1456,b70c37d5-3070-43bd-b352-011bd8a0036d,Fantasy,,arthur conan  conan doyle  categoryscottish,1920s science fiction novels 1929 novels,,
1457,b712667f-4762-47c0-8665-93ad7d08b07c,Fantasy,Fantasy,tolkien  j r r  r r tolkien  j r  r tolkien,Books by J. R. R. Tolkien Houghton Mifflin books 1976 books,J R R Tolkien Tolkien family,
1458,b740d1a6-8446-40a2-9a17-7da239b06aa0,,,ordeal  innocence  published john,,Agatha Christie,Collins Crime Club
1459,b7898199-ed13-40e0-a5a1-5f01c76775b5,Essay,Essay,essay  conversations  g wells  h g  h g wells,Short story collections by H. G. Wells,H G Wells,
1460,b7aa9957-b518-4945-b992-ac0f762966cd,Thriller (genre),Thriller (genre),frederick forsyth  thriller genre  qaeda  afghan  al,Books about Al-Qaeda Novels by Frederick Forsyth,Frederick Forsyth,
1461,b81d050a-4032-480c-8423-27cf041c70ca,Science fiction,,robert silverberg  asimov  isaac asimov  nightfall  category1941 short stories,Novels by Robert Silverberg Science fiction novels by Isaac Asimov,Isaac Asimov,
1462,b8523392-c924-4c3e-80ef-fb31e92c391d,Politics,,catalonia  george orwell  politics  non fiction  categorypoum,Books by George Orwell Novels set in Barcelona POUM Political autobiographies,George Orwell,
1463,b855f5db-5625-41ec-80d2-1fadd0a396e8,Horror fiction,,needful  horror fiction  stephen king  things  category1991 novels,American horror novels American novels adapted into films Viking Press books 1991 novels,,Viking Press
1464,b861e594-b789-4ad0-932f-cac325b195b5,Greek mythology Roman mythology,,roman mythology  hyperion books  neptune  categorycamp  half,Camp Half-Blood series Greco-Roman mythology in popular culture The Heroes of Olympus,,Hyperion Books
1465,b89c7a9d-1f1d-4e4b-9708-3e6ac410eea8,,,allan  fantasy literature  rider haggard,Adventure novels,H Rider Haggard,
1466,b8b22c1a-60c6-4f8f-8bff-1f47c37d8bd0,Science fiction,,foundation  science fiction fact  category1951 novels,,,Gnome Press
1467,b8e9673a-a59a-46db-a0b2-2bce64f8a819,Fantasy literature,Fantasy literature,pyramid  fantasy literature  categoryancient egypt fiction  egypt fiction  kane chronicles,Ancient Egypt in fiction The Kane Chronicles 2010s fantasy novels American children's novels,Rick Riordan,
1468,b9088258-dece-42c0-a79d-2550d49f076e,Crime fiction,,crooked  originally published cosmopolitan  published cosmopolitan  published cosmopolitan magazine  cosmopolitan magazine,Novels first published in serial form 1949 novels,Agatha Christie,
1469,b9319874-0d6b-4613-8b3a-fe082b6f672b,,,categoryupcoming books  sleep  stephen king,American horror novels,,Charles Scribner's Sons
1470,b971c6a0-a791-49ee-81f0-eee7dda8cc17,,Mystery fiction,l sayers  detective fiction  dorothy l,Locked room mysteries 1936 plays,,
1471,b9939a5b-726d-4fb4-b751-8368a2571b91,,,youth  j m coetzee  m coetzee,Autobiographical novels Novels by J. M. Coetzee,,
1472,b996a013-dde0-4809-9454-face1b7c4195,,Horror fiction,skeleton  crew  category1985 short,1985 short story collections,,
1473,b9cf7d9b-aee2-413a-8ebb-30b58ed77a49,,,beat generation  road  categoryjack kerouac  references  categoryon road,Jack Kerouac On the Road,Jack Kerouac,
1474,b9d71df3-a1a5-4ff6-aa6e-6211fdb49357,Science fiction,Science fiction,winning works  harsh  robert heinlein  categoryfictional artificial  fictional dialects,Fictional artificial intelligences Hugo Award for Best Novel winning works Novels first published in serial form Prometheus Award winning works 1960s science fiction novels Works originally published in If (magazine),Robert A Heinlein,
1475,b9fb5248-0146-4a20-8dbc-d55785783f26,,,g wells  h g  h g wells  categorybooks civilizations  category1922,1922 books,H G Wells,Penguin Books
1476,ba033920-744a-44f5-bb1c-b9a8c6a01348,,Harvill Secker,farm  categoryanimals  george orwell  harvill secker  novella,Animal Farm Animals in media British satirical novels Dystopian novels Hugo Award for Best Novella winning works Novels about revolutionaries Novels about totalitarianism Novels by George Orwell Novels set in the Stalin era Satirical novels 1945 novels Roman %C3%A0 clef novels,,Harvill Secker
1477,ba5a2204-a0f8-4120-b1da-d08788e29160,Absurdist fiction,,reptile  steampunk  mystery fiction,,Lemony Snicket,HarperCollins
1478,ba7e5f4b-6d3d-4f31-aec6-b50ef0eb762b,,,suspense  anne rice  romance novel  farm  horror fiction,Alfred A. Knopf books The Vampire Chronicles Novels set in New Orleans  Louisiana,Anne Rice,Alfred A Knopf
